Class,Comment,Intent,Responsibilities,Collaborators,Key messages,Key implementation points,Instance variables,ReferenceToOtherResources,Subclasses Explanation,Class references,Example,Todo comments,Naming convention,Coding guidlines,Warnings,Discourse,Links,Extensions,Recommendations,Observations,Preconditions,Dependencies,License/copyright ,Other
OCCompilerNotifyingTest,"A CompilerNotifyingTest is a TestCase for checking that Compiler/Parser notifications are inserted at the right place in a TextEditor.
  
  Instance Variables
  expectedErrorPositions: <Array of: Integer>
  expectedErrors: <Array of: String>
  failure: <Object>
  morph: <TextMorph>
  text: <String>
  
  errorPositions
  - the position where error text should be inserted for each chunk of text evaluated
  
  errors
  - the error text that should be inserted on evaluation of each chunk of text evaluated
  
  failure
  - an object returned in case of evaluation error and whose identity can be uniquely recognized as a failure
  
  morph
  - the Morph holding the text
  
  text
  - the string containing all the chunks to be evaluated (separated by %)
  and the expected error messages (`enclosed in back quotes`)
  this text will be stripped of the error messages before being evaluated.",A CompilerNotifyingTest is a TestCase for checking that Compiler/Parser notifications are inserted at the right place in a TextEditor.,for checking that Compiler/Parser notifications are inserted at the right place in a TextEditor.,,,,"Instance Variables
 expectedErrorPositions: <Array of: Integer>
 expectedErrors: <Array of: String>
 failure: <Object>
 morph: <TextMorph>
 text: <String>",,,,,,,,,,,,,,,,,
ClyMethodVisibilityLevel,"I am a root of hierarchy of different kind of method visibilities.
  Instances are created with currently visible class scope and extra scope which can be activated.
  
  Activation/decactivation methods returns new scope which represent result method visibility:
  
  - activateExtraScope
  - deactivateExtraScope
  
  My instances are used by browser to switch method visibility of inherited classes. They use simple method #toggleScope which also returns result method scope.
  To represent current state of visible scope I compute #isActive flag:
  If any of classes from extra scope is included in the visible scope then my instance is considered active
  
  My instances are created on currently visible class scope. And subclasses create extra scope according to their logic.
  
  Internal Representation and Key Implementation Points.
  
  Instance Variables
  visibleClassScope: <ClyClassScope>
  extraClassScope: <ClyAbstractClassScope>
  isActive: <Boolean>
  
  
  
  Implementation Points",I am a root of hierarchy of different kind of method visibilities.,,,"Activation/decactivation methods returns new scope which represent result method visibility: 
 
 - activateExtraScope 
 - deactivateExtraScope 
 
 My instances are used by browser to switch method visibility of inherited classes. They use simple method #toggleScope which also returns result method scope.
 To represent current state of visible scope I compute #isActive flag:",,"Instance Variables
  visibleClassScope: <ClyClassScope>
  extraClassScope: <ClyAbstractClassScope>
  isActive: <Boolean>",,,,,,,,,,,,,,"Instances are created with currently visible class scope and extra scope which can be activated. 
 
 f any of classes from extra scope is included in the visible scope then my instance is considered active",,,
IceUnbornProjectReader,I create unborn projects from a commitish if it is HEAD and it does not have a '.project' file.,,I create unborn projects from a commitish if it is HEAD and it does not have a '.project' file.,,,,,,,,,,,,,,,,,,,,,
ZipDirectoryMember,"ZipFileMember instances represent directories inside ZipArchives.
  They don't do much other than hold names and permissions (and extra fields).
  
  You can add files in subdirectories to a ZipArchive without using any ZipDirectoryMembers.","""ZipFileMember instances represent directories inside ZipArchives.","They don't do much other than hold names and permissions (and extra fields). You can add files in subdirectories to a ZipArchive without using any ZipDirectoryMembers.""","You can add files in subdirectories to a ZipArchive without using any ZipDirectoryMembers.""",,,,,,,,,,,,,,,,,,,,
GLMPopupBrick,I am a popup with an action button hint text,I am a popup with an action button hint text,,,,,,,,,,,,,,,,,,,,,,
GTBytecodeDebuggerSession,"I provide debugging actions at the level of the bytecode.
  I also make sure that step over only goes over one single bytecode instruction.",,"I provide debugging actions at the level of the bytecode.
  I also make sure that step over only goes over one single bytecode instruction.",,,,,,,,,,,,,,,,,,,,,
ImageMorph,"ImageMorph is a morph that displays a picture (Form). My extent is determined by the extent of my form.
  
  Use #image: to set my picture.
  
  Structure:
  instance var Type Description
  image Form The Form to use when drawing
  
  Code examples:
  ImageMorph new openInWorld; grabFromScreen
  
  (Form fromFileNamed: 'myGraphicsFileName') asMorph openInWorld
  
  Relationship to SketchMorph: ImageMorph should be favored over SketchMorph, a parallel, legacy class -- see the Swiki FAQ for details ( http://minnow.cc.gatech.edu/squeak/1372 ).",ImageMorph is a morph that displays a picture (Form).,ImageMorph is a morph that displays a picture (Form).,ImageMorph is a morph that displays a picture (Form).,Use #image: to set my picture.,My extent is determined by the extent of my form.,"Structure:
  instance var Type Description
  image Form The Form to use when drawing","Relationship to SketchMorph: ImageMorph should be favored over SketchMorph, a parallel, legacy class -- see the Swiki FAQ for details ( http://minnow.cc.gatech.edu/squeak/1372 ).",,"Relationship to SketchMorph: ImageMorph should be favored over SketchMorph, a parallel, legacy class -- see the Swiki FAQ for details ( http://minnow.cc.gatech.edu/squeak/1372 ).","Code examples:
  ImageMorph new openInWorld; grabFromScreen
  
  (Form fromFileNamed: 'myGraphicsFileName') asMorph openInWorld",,,,"Relationship to SketchMorph: ImageMorph should be favored over SketchMorph, a parallel, legacy class -- see the Swiki FAQ for details ( http://minnow.cc.gatech.edu/squeak/1372 ).",,"Relationship to SketchMorph: ImageMorph should be favored over SketchMorph, a parallel, legacy class -- see the Swiki FAQ for details ( http://minnow.cc.gatech.edu/squeak/1372 ).",,,,,,,
FormCanvas,"Note that when shadowDrawing is true, shadowStipple may be either a color, for a solid shadow of the given color, or it may be a stipple used to simulate gray shading when the display cannot support alpha blending.",,,,,"Note that when shadowDrawing is true, shadowStipple may be either a color, for a solid shadow of the given color, or it may be a stipple used to simulate gray shading when the display cannot support alpha blending.","Note that when shadowDrawing is true, shadowStipple may be either a color, for a solid shadow of the given color, or it may be a stipple used to simulate gray shading when the display cannot support alpha blending.",,,,"Note that when shadowDrawing is true, shadowStipple may be either a color, for a solid shadow of the given color, or it may be a stipple used to simulate gray shading when the display cannot support alpha blending.",,,,"Note that when shadowDrawing is true, shadowStipple may be either a color, for a solid shadow of the given color, or it may be a stipple used to simulate gray shading when the display cannot support alpha blending.",,,,,,,,,
GLMLipsumWithSegmentsExample,self new open,,,,self new open,,,,,,self new open,,,,,,,,,,,,,
SDL_MouseButtonEvent,SDL2 library structure,SDL2 library structure,,,,,,,,,,,,,,,,,,,,SDL2 library structure,,
AnnouncementSetWithExclusions,"I am an AnnouncementSet that explicitely does not handle a number of exclusion Announcements.
  
  You could define me by #- message:
  
  announcer when: Announcement - ValueChanged do: [...].
  announcer when: Announcement - ValueChanged - ValueAdded do: [...].
  announcer when: ValueAdded, ValueRemoved - ValueAdded
  
  Internal Representation and Key Implementation Points.
  
  Instance Variables
  exclusions: <OrderedCollection>",I am an AnnouncementSet,that explicitely does not handle a number of exclusion Announcements.,,,,"Instance Variables
  exclusions: <OrderedCollection>",,,,"You could define me by #- message:
  
  announcer when: Announcement - ValueChanged do: [...].
  announcer when: Announcement - ValueChanged - ValueAdded do: [...].
  announcer when: ValueAdded, ValueRemoved - ValueAdded",,,,,,,,,,,,,
DADependencyFromClass,A PDDependencyFromClass is a dependency from the class. The source class is stored in the inst var.,A PDDependencyFromClass is a dependency from the class.,,,,The source class is stored in the inst var.,,,,,,,,,,,,,,,,,,
TextModel,This is deprecated class because the original class TextModel was renamed to TextPresenter. You should stop to use this class and modify your code to use TextPresenter.,,,,,,,,,,,,,,You should stop to use this class and modify your code to use TextPresenter.,,,,,,,,,
EyeMethodContextInspector,I am an eye inspector specified for MethodContext,I am an eye inspector specified for MethodContext,I am an eye inspector specified for MethodContext,I am an eye inspector specified for MethodContext,,,,,,I am an eye inspector specified for MethodContext,,,,,,,,,,,,,,
IceSemanticVersion,"I represent the semver (http://semver.org) of libgit2.
  Since I exist just to be able to compare versions, I'm limited (reason why I'm not promoted to a more general package).",I represent the semver (http://semver.org) of libgit2.,"Since I exist just to be able to compare versions, I'm limited (reason why I'm not promoted to a more general package)",,,,,,,,,,,,,"Since I exist just to be able to compare versions, I'm limited (reason why I'm not promoted to a more general package)",I represent the semver (http://semver.org) of libgit2.,,,,,I represent the semver (http://semver.org) of libgit2.,,
ClyTraitMethodDecorator,"I decorate table with special icon for methods which are defined in traits.
  Notice that I only apply decoration when selected class is different than method defining trait",,I decorate table with special icon for methods which are defined in traits.,,,,,,,,,,,,Notice that I only apply decoration when selected class is different than method defining trait,,,,,,,,,
BehaviorTest,SUnit tests for Behavior,SUnit tests for Behavior,SUnit tests for Behavior,SUnit tests for Behavior,,,,,,SUnit tests for Behavior,,,,,,,,,,,,SUnit tests for Behavior,,
ShSmalltalkGlobalsEnvironment,"I represent the Smalltalk globals environment.
  I am used to generate the classes by the ShiftClassBuilder when it is using directly the Smalltalk environment.",I represent the Smalltalk globals environment.,I am used to generate the classes by the ShiftClassBuilder when it is using directly the Smalltalk environment.,,,,,,,I represent the Smalltalk globals environment. I am used to generate the classes by the ShiftClassBuilder when it is using directly the Smalltalk environment.,,,,,,,,,,,I am used to generate the classes by the ShiftClassBuilder when it is using directly the Smalltalk environment.,,,
CannotDeleteFileException,Notfify when not able to delete,,Notfify when not able to delete,,,,,,,,,,,,,,,,,,Notfify when not able to delete,,,
GLMWindowRequest,"I indicate to the renderer to execute a message on the window that rendered this presentation. It will only execute if the presentation is directly rendered in a window (i.e., if this is the presentation to which #openWith: was sent)",,I indicate to the renderer to execute a message on the window that rendered this presentation.,,,,,,,,,,,,"It will only execute if the presentation is directly rendered in a window (i.e., if this is the presentation to which #openWith: was sent)",,,,,,"It will only execute if the presentation is directly rendered in a window (i.e., if this is the presentation to which #openWith: was sent)",,,
RBRefactoryTyper,"I am a type guesser used by refactoring operations.
  
  I try to determine the types used for variables in a class.
  
  Refactoring operations are using me to provide a possible list of classes that are affected by a refactoring.
  For example, for moving or delegating a method implementation to an instance variable, it might be necessary to add this implementation to multiple classes.
  
  I analyze message sends to the instance variables and try to guess the type by looking at implementors of that messages.
  (If a method sends ifTrue:ifFalse: to an instance variable I can guess that the instance variable may be a Boolean object).
  
  If I can guess the type to be a collection, I'll try to investigate the types of the possible contained elements as well.
  You can ask for the guessed type of the variable:
  typer guessTypeFor: 'variablename'
  and the contained elements:
  typer guessTypeFor: '-variablename-'
  
  Example usage:
  | typer |
  ""create and initialize for a class to analyze""
  typer := (RBRefactoryTyper new runOn: RBMessageNode).
  
  ""guess types for RBMessageNodes instane var 'arguments' ""
  typer guessTypesFor:'arguments'. ""a Set(SequenceableCollection)""
  
  ""guess types for objects that may be put into 'arguments' collection ""
  typer guessTypesFor:'-arguments-' ""a Set(RBBlockNode RBMethodNode)""
  
  
  You can print a full report on all results with #printString.
  
  (RBRefactoryTyper new runOn: Point ) printString.
  ""'Point
  x <Integer>
  y <Integer>
  '""
  
  There are two class side methods, one for creating an instance and setting the environment used to resolve names - a RBNamespace.
  
  And another one for guessing types in a parseTree:
  
  RBRefactoryTyper typesFor: 'var' in: (RBParser parseExpression: 'var squared') model: RBNamespace new ""a Set(Number Collection)""
  (Here, I can guess the types Number and Collections as these are the classes implementing the message #squared)",I am a type guesser used by refactoring operations.,"I try to determine the types used for variables in a class.
  
  Refactoring operations are using me to provide a possible list of classes that are affected by a refactoring.
  For example, for moving or delegating a method implementation to an instance variable, it might be necessary to add this implementation to multiple classes.
  
  I analyze message sends to the instance variables and try to guess the type by looking at implementors of that messages.
  (If a method sends ifTrue:ifFalse: to an instance variable I can guess that the instance variable may be a Boolean object).
  
  If I can guess the type to be a collection, I'll try to investigate the types of the possible contained elements as well.
  You can ask for the guessed type of the variable:
  typer guessTypeFor: 'variablename'
  and the contained elements:
  typer guessTypeFor: '-variablename-'","There are two class side methods, one for creating an instance and setting the environment used to resolve names - a RBNamespace.",,,,,,"There are two class side methods, one for creating an instance and setting the environment used to resolve names - a RBNamespace.","Example usage:
  | typer |
  ""create and initialize for a class to analyze""
  typer := (RBRefactoryTyper new runOn: RBMessageNode).
  
  ""guess types for RBMessageNodes instane var 'arguments' ""
  typer guessTypesFor:'arguments'. ""a Set(SequenceableCollection)""
  
  ""guess types for objects that may be put into 'arguments' collection ""
  typer guessTypesFor:'-arguments-' ""a Set(RBBlockNode RBMethodNode)""
  
  
  You can print a full report on all results with #printString.
  
  (RBRefactoryTyper new runOn: Point ) printString.
  ""'Point
  x <Integer>
  y <Integer>
  '""
 
  And another one for guessing types in a parseTree:
  
  RBRefactoryTyper typesFor: 'var' in: (RBParser parseExpression: 'var squared') model: RBNamespace new ""a Set(Number Collection)""
  (Here, I can guess the types Number and Collections as these are the classes implementing the message #squared)",,,,,,,,,,,,,
